"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Goat","PHB'14","157","none","Trade Good","","","","","","1 GP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Goat","DMG'24","213","none","Trade Good","","","","","","1 GP","Merchants commonly exchange trade goods without using currency."
"Gold","PHB'14","157","none","Trade Good","","","","","1 lb.","50 GP","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
"Gold","DMG'24","213","none","Trade Good","","","","","1 lb.","50 GP","Merchants commonly exchange trade goods without using currency."
"Gold (gp)","PHB'14","143","none","Treasure (Coinage)","","","","","0.32 oz.","1 GP","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Gold 5-Zino Coin","GGR","9","none","Treasure (Coinage)","","","","","","5 GP",""
"Gold Bar (5-pound)","DMG'24","213","none","Trade Bar","","5 in. long × 2 in. wide × ¾ in. thick","","","5 lb.","250 GP","Because large numbers of coins can be difficult to transport and account for, many merchants prefer to use trade bars—ingots of precious metals and alloys (usually silver). These bars are valued by weight."
"Gold Zino","GGR","9","none","Treasure (Coinage)","","","","","","1 GP",""
"Gold basin with rubies (Legion of Dusk)","PSX","25","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Gold bird cage with electrum filigree","DMG'14","135","none","Treasure (Art Object)","","","","","","250 GP",""
"Gold birdcage with electrum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold bracelet","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold chalice (Legion of Dusk)","PSX","24","none","Treasure (Art Object)","","","","","","750 GP",""
"Gold chalice set with emeralds (Legion of Dusk)","PSX","25","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Gold circlet set with four aquamarines","DMG'14","135","none","Treasure (Art Object)","","","","","","2,500 GP",""
"Gold circlet set with four aquamarines","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold comb shaped like a dragon with red garnets as eyes","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold cup set with emeralds","DMG'14","135","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Gold cup set with emeralds","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold dragon comb set with red garnets as eyes","DMG'14","135","none","Treasure (Art Object)","","","","","","750 GP",""
"Gold idol","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold jewelry box with platinum filigree","DMG'14","135","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Gold jewelry box with platinum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold jewelry box with platinum filigree (Brazen Coalition)","PSX","25","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Gold locket with a painted portrait inside","DMG'14","134","none","Treasure (Art Object)","","","","","","25 GP",""
"Gold locket with a painted portrait inside","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold locket with a painted portrait inside (Legion of Dusk)","PSX","24","none","Treasure (Art Object)","","","","","","25 GP",""
"Gold music box","DMG'14","135","none","Treasure (Art Object)","","","","","","2,500 GP",""
"Gold music box","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold music box (Brazen Coalition)","PSX","25","none","Treasure (Art Object)","","","","","","2,500 GP",""
"Gold pendant with black onyx (Legion of Dusk)","PSX","24","none","Treasure (Art Object)","","","","","","250 GP",""
"Gold ring set with bloodstones","DMG'14","135","none","Treasure (Art Object)","","","","","","250 GP",""
"Gold ring set with bloodstones","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold ring with turquoise (Legion of Dusk)","PSX","24","none","Treasure (Art Object)","","","","","","25 GP",""
"Gold statuette set with rubies","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold-plated ceremonial helmet and pauldrons (Legion of Dusk)","PSX","25","none","Treasure (Art Object)","","","","","","2,500 GP",""
"Gold-plated sextant with topaz (Brazen Coalition)","PSX","24","none","Treasure (Art Object)","","","","","","750 GP",""
"Goose Egg Trinket","BGG","150","none","Adventuring Gear","","","","","","","Sometimes, an egg laid by a giant goose inexplicably contains some kind of small trinket or minor magic item. Once it lays a golden egg, a giant goose can't do so again for a year and a day.You can use the Goose Egg Trinket table to determine the contents of a golden egg. A giant goose's egg can be a great way to give characters an item that's important to the story of an adventure or your campaign.Goose Egg Trinketd12Egg Contents1The egg is empty, but the inside of the shell is inscribed with a poem or an intricate illustration.2The gold shell encloses a candy egg.3The egg holds a small toy goose that makes a loud honking noise when squeezed.4The egg contains a potion of giant strength (hill giant) with no container.5The egg holds a pearl of power.6The egg contains a brooch of shielding.7The egg contains a figurine of wondrous power (silver raven) that activates automatically as the egg is opened, releasing what appears to be a living bird.8-12The egg is empty."
"Grace of the Wind-Touched Jerbeen Figurine","HWT","71","none","Treasure (Art Object)","","","","","","50 GP","An ornate figurine of a jerbeen with wings carved with an impressive level of craftsmanship. Said to be made of branches gifted by the Wind-Touched from her own home in the forest."
"Grappling Gun","GH:PG'24","126","none","Advanced Equipment","","","","","3 lb.","200 GP","A Grappling Gun can shoot a Grappling Hook attached to a rope up to 150 feet, and the hook catches with a successful DC 10 Dexterity (Acrobatics) check.Additionally, if you are falling, you can use a Reaction to shoot the Grappling Gun at an attachable surface to stop your fall. You still must succeed on the check to ensure the Grappling Hook catches on a solid object. On a successful check, you stop your fall. Advanced Equipment[–] The brilliant engineers and crafters who designed and built Etharis's highly advanced weapons and ammunition did not stop there. Other inventions of war—and of peace—became invaluable to the soldiers, guards, and adventurers of Etharis.Some pieces of Advanced equipment, such as the corrupting Shadowsteel Focus, need special training to fully employ. Other items, like the Retractable Shield, are usable by anyone proficient with shields. And many other pieces of equipment are usable by anyone—though few would be able to afford and maintain these mechanical, alchemical, or even magical marvels.As they are expensive and difficult to make, access to Advanced equipment is limited—maybe even as limited as some magic items. The largest cities, or locations housing master crafters, may only have a few items of Advanced equipment."
"Grappling Hook","PHB'14","150","none","Adventuring Gear","","","","","4 lb.","2 GP",""
"Grappling Hook","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","2 GP","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Greataxe","PHB'14","149","none","Weapon, Martial Weapon, Melee Weapon","","1d12 Slashing","heavy, two‑handed","","7 lb.","30 GP","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greataxe","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","30 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Greatclub","PHB'14","149","none","Weapon, Simple Weapon, Melee Weapon","","1d8 Bludgeoning","two‑handed","","10 lb.","2 SP","Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatclub","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","2 SP","Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Greatsword","PHB'14","149","none","Weapon, Martial Weapon, Melee Weapon","","2d6 Slashing","heavy, two‑handed","","6 lb.","50 GP","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatsword","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","50 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Grenade Launcher","DMG'14","268","none","Adventuring Gear, Modern","","","","","7 lb.","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away."
"Grenade Launcher","DMG'24","73","none","Adventuring Gear, Modern","","","","","7 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere."
"Griffon Egg","WEL","99","none","","","","","","200 lb.","","This 3-foot-diameter, 4-foot-high egg weighs 200 pounds.After 1d6 weeks, a Medium baby griffon noncombatant hatches from the egg. After 1 year, the creature becomes a griffon companion. The GM can advance or slow this timeline to suit the campaign's pacing."
"Guardian Poleaxe","GH:PG'24","128","none","Weapon, Advanced Weapon, Melee Weapon","","1d10 Slashing","Damage (Piercing), Hafted, Heavy, Reach, Two‑Handed","Mastery: Set","9 lb.","750 GP","Damage. A Damage property weapon can deal different types of damage. When you hit with an attack from this weapon, choose one of the damage types allowed. Hafted. A Hafted weapon's haft can function well as an off-hand attack. After you use the Attack action to attack with a Hafted weapon, you can use a Bonus Action to make a melee attack with the haft. The haft deals 1d6 Bludgeoning damage, and you add your ability modifier to damage. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Set. Weapons with the Set property allow you to prepare for an oncoming attack. If a target enters your reach while you wield a weapon with this property, you can use your Reaction to make a melee attack with the weapon against that target."
"Gunpowder (keg)","DMG'24","73","none","Explosive","","","","","20 lb.","250 GP","Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder (powder horn)","DMG'24","73","none","Explosive","","","","","2 lb.","35 GP","Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder Horn","DMG'14","268","none","Explosive, Renaissance","","","","","2 lb.","35 GP","Gunpowder is chiefly used to propel a bullet out of the barrel of a pistol or rifle, or it is formed into a bomb. Gunpowder is sold in small wooden kegs or in water-resistant powder horns.Setting fire to a container full of gunpowder can cause it to explode, dealing fire damage to creatures within 10 feet of it (3d6 for a powder horn). A successful DC 12 Dexterity saving throw halves the damage. Setting fire to an ounce of gunpowder causes it to flare for 1 round, shedding bright light in a 30-foot radius and dim light for an additional 30 feet."
"Gunpowder Keg","DMG'14","268","none","Explosive, Renaissance","","","","","20 lb.","250 GP","Gunpowder is chiefly used to propel a bullet out of the barrel of a pistol or rifle, or it is formed into a bomb. Gunpowder is sold in small wooden kegs or in water-resistant powder horns.Setting fire to a container full of gunpowder can cause it to explode, dealing fire damage to creatures within 10 feet of it (7d6 for a keg). A successful DC 12 Dexterity saving throw halves the damage. Setting fire to an ounce of gunpowder causes it to flare for 1 round, shedding bright light in a 30-foot radius and dim light for an additional 30 feet."
"Halberd","PHB'14","149","none","Weapon, Martial Weapon, Melee Weapon","","1d10 Slashing","heavy, reach, two‑handed","","6 lb.","20 GP","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Halberd","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","20 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Half Plate Armor","PHB'14","145","none","Medium Armor","","AC 15 + Dex (max 2)","","","40 lb.","750 GP","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has Disadvantage on Dexterity (Stealth) checks."
"Half Plate Armor","PHB'24","219","none","Medium Armor","","AC 15 + Dex (max 2)","","","40 lb.","750 GP","The wearer has Disadvantage on Dexterity (Stealth) checks."
"Half Plate Barding","PHB'14","157","none","Tack and Harness (Half Plate Armor)","","AC 15 + Dex (max 2)","","","80 lb.","3,000 GP","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much."
"Hammer","PHB'14","150","none","Adventuring Gear","","","","","3 lb.","1 GP",""
"Hammer","TLotRR","73","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Bludgeoning","","","3 lb.","2 S",""
"Hammerhead Ship","AAG","32","none","Vehicle (Space)","","Speed: 4 mphCarrying Capacity: 30 tons cargoCrew 15, AC 15, HP 400, Damage Threshold 15","","","","40,000 GP","Hammerhead ships are popular craft, especially among pirates and merchants carrying heavy cargo. They can float on water and sail across it, but they aren't built to land on the ground (their keels would cause them to tip to one side). Standard weapons on a hammerhead ship include fore and aft mangonels, a ballista, and a reinforced bow for ramming."
"Hand Crossbow","PHB'14","149","none","Weapon, Martial Weapon, Ranged Weapon","","1d6 Piercing","ammunition (30/120 ft.), light, loading","","3 lb.","75 GP","Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Hand Crossbow","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 30/120 ft.; Bolt), Light, Loading","Mastery: Vex","3 lb.","75 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Hand Drum","SCAG","124","none","Instrument","","","","","","","A double-headed skin drum fitted with handles along its side.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Handaxe","PHB'14","149","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Slashing","light, thrown (20/60 ft.)","","2 lb.","5 GP","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Handaxe","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","5 GP","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Handgun","GC:VSS'24","undefined","none","Weapon, Simple Weapon, Ranged Weapon, Firearm","","2d4 Piercing","Ammunition (Range 30/120 ft.; Bullet), Firearm, Light, Modern Era, Reload (10 shots)","Mastery: Vex","3 lb.","125 GP","Portable, reliable, and with a generous magazine size, the Handgun is the go-to firearm for self-defense and law enforcement. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Firearm. You don't add your ability modifier to the weapon's damage, unless otherwise stated. Firearm ammunition is destroyed upon use. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Handheld mirror set in a painted wooden frame","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Harbor Moon","WDH","169","none","Treasure (Coinage)","","","","","","50 GP","Platinum crescent inset with electrum, about three inches long with a hole large enough for a nib to fit in (1 harbor moon = 5,000 nibs)"
"Harp","TLotRR","74","none","Instrument","","","","","2 lb.","3 G","If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Harper Trinket","FRHoF","160","none","Adventuring Gear","","","","","","","Harper Trinkets1d6Trinket1A broken harmonica2A powder compact with a hidden compartment3A 2-foot-long peacock feather4A trick coin that's heads on both sides5A pair of red-tinted spectacles6A scroll of sheet music for an unknown instrument"
"Healer's Kit","PHB'14","151","none","Adventuring Gear","","","","","3 lb.","5 GP","This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
"Healer's Kit","PHB'24","225","none","Adventuring Gear","","","","","3 lb.","5 GP","A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check."
"Heavy Crossbow","PHB'14","149","none","Weapon, Martial Weapon, Ranged Weapon","","1d10 Piercing","ammunition (100/400 ft.), heavy, loading, two‑handed","","18 lb.","50 GP","Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Heavy Crossbow","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1d10 Piercing","Ammunition (Range 100/400 ft.; Bolt), Heavy, Loading, Two‑Handed","Mastery: Push","18 lb.","50 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
